candidato_id,name,partido,uf,url
73979,ALCESTE ALMEIDA,PMDB,RR,https://www.camara.leg.br/deputados/73979
73979,ALCESTE ALMEIDA,PMDB,RR,https://www.camara.leg.br/deputados/73979
73979,ALCESTE ALMEIDA,PMDB,RR,https://www.camara.leg.br/deputados/73979
73979,ALCESTE ALMEIDA,PL,RR,https://www.camara.leg.br/deputados/73979
73979,ALCESTE ALMEIDA,PL,RR,https://www.camara.leg.br/deputados/73979
73979,ALCESTE ALMEIDA,PMDB,RR,https://www.camara.leg.br/deputados/73979
73979,ALCESTE ALMEIDA,PL,RR,https://www.camara.leg.br/deputados/73979
73979,ALCESTE ALMEIDA,PTB,RR,https://www.camara.leg.br/deputados/73979
73979,ALCESTE ALMEIDA,PTB,RR,https://www.camara.leg.br/deputados/73979
73980,ELTON ROHNELT,PFL,RR,https://www.camara.leg.br/deputados/73980
73979,ALCESTE ALMEIDA,PTB,RR,https://www.camara.leg.br/deputados/73979
73980,ELTON ROHNELT,PFL,RR,https://www.camara.leg.br/deputados/73980
141380,ANGELA PORTELA,PT,RR,https://www.camara.leg.br/deputados/141380
141380,ANGELA PORTELA,PT,RR,https://www.camara.leg.br/deputados/141380
74340,AIRTON CASCAVEL,PPS,RR,https://www.camara.leg.br/deputados/74340
73980,ELTON ROHNELT,PFL,RR,https://www.camara.leg.br/deputados/73980
74340,AIRTON CASCAVEL,PPS,RR,https://www.camara.leg.br/deputados/74340
73981,FRANCISCO RODRIGUES,PTB,RR,https://www.camara.leg.br/deputados/73981
73920,RODOLFO PEREIRA,PDT,RR,https://www.camara.leg.br/deputados/73920
141380,ANGELA PORTELA,PT,RR,https://www.camara.leg.br/deputados/141380
73920,RODOLFO PEREIRA,PDT,RR,https://www.camara.leg.br/deputados/73920
74340,AIRTON CASCAVEL,PPS,RR,https://www.camara.leg.br/deputados/74340
160554,BERINHO BANTIM,SD,RR,https://www.camara.leg.br/deputados/160554
141417,EDIO LOPES,PMDB,RR,https://www.camara.leg.br/deputados/141417
73981,FRANCISCO RODRIGUES,PFL,RR,https://www.camara.leg.br/deputados/73981
73981,FRANCISCO RODRIGUES,PFL,RR,https://www.camara.leg.br/deputados/73981
141417,EDIO LOPES,PMDB,RR,https://www.camara.leg.br/deputados/141417
73982,LUCIANO CASTRO,PSDB,RR,https://www.camara.leg.br/deputados/73982
141417,EDIO LOPES,PMDB,RR,https://www.camara.leg.br/deputados/141417
73981,FRANCISCO RODRIGUES,PTB,RR,https://www.camara.leg.br/deputados/73981
73981,FRANCISCO RODRIGUES,PFL,RR,https://www.camara.leg.br/deputados/73981
73981,FRANCISCO RODRIGUES,PFL,RR,https://www.camara.leg.br/deputados/73981
73981,FRANCISCO RODRIGUES,PFL,RR,https://www.camara.leg.br/deputados/73981
141417,EDIO LOPES,PMDB,RR,https://www.camara.leg.br/deputados/141417
73981,FRANCISCO RODRIGUES,DEM,RR,https://www.camara.leg.br/deputados/73981
73982,LUCIANO CASTRO,PFL,RR,https://www.camara.leg.br/deputados/73982
73981,FRANCISCO RODRIGUES,DEM,RR,https://www.camara.leg.br/deputados/73981
73983,LUIS BARBOSA,PPB,RR,https://www.camara.leg.br/deputados/73983
73982,LUCIANO CASTRO,PSDB,RR,https://www.camara.leg.br/deputados/73982
73920,RODOLFO PEREIRA,PDT,RR,https://www.camara.leg.br/deputados/73920
73982,LUCIANO CASTRO,PR,RR,https://www.camara.leg.br/deputados/73982
73983,LUIS BARBOSA,PFL,RR,https://www.camara.leg.br/deputados/73983
160634,CHICO DAS VERDURAS,PRP,RR,https://www.camara.leg.br/deputados/160634
73982,LUCIANO CASTRO,PR,RR,https://www.camara.leg.br/deputados/73982
73983,LUIS BARBOSA,PPB,RR,https://www.camara.leg.br/deputados/73983
73982,LUCIANO CASTRO,PR,RR,https://www.camara.leg.br/deputados/73982
73984,MOISES LIPNIK,PL,RR,https://www.camara.leg.br/deputados/73984
74341,,PPB,RR,https://www.camara.leg.br/deputados/74341
73981,FRANCISCO RODRIGUES,PFL,RR,https://www.camara.leg.br/deputados/73981
64960,MARIA HELENA,PSB,RR,https://www.camara.leg.br/deputados/64960
64960,MARIA HELENA,PSB,RR,https://www.camara.leg.br/deputados/64960
73982,LUCIANO CASTRO,PFL,RR,https://www.camara.leg.br/deputados/73982
64960,MARIA HELENA,PSB,RR,https://www.camara.leg.br/deputados/64960
73982,LUCIANO CASTRO,PR,RR,https://www.camara.leg.br/deputados/73982
73982,LUCIANO CASTRO,PR,RR,https://www.camara.leg.br/deputados/73982
73985,JO,PL,RR,https://www.camara.leg.br/deputados/73985
73985,JO,PPB,RR,https://www.camara.leg.br/deputados/73985
